Country	MSW_kg_per_capita
Aruba	758.8030633220345
Afghanistan	140.67824323578785
Angola	128.20158173044976
Albania	360.847507493587
Andorra	506.6032259321307
United Arab Emirates	517.6450561810977
Argentina	368.901169805224
Armenia	151.81316275520754
American Samoa	309.7263661569579
Antigua and Barbuda	290.7619854651772
Australia	492.09221680799743
Austria	498.6773227958733
Azerbaijan	269.7746859143865
Burundi	156.8542597633477
Belgium	375.46968402548777
Benin	55.68317672159274
Burkina Faso	121.72118008702158
Bangladesh	83.96556215154816
Bulgaria	386.03087826972137
Bahrain	578.0091098168486
Bahamas, The	627.3475813401578
Bosnia and Herzegovina	338.0006304081692
Belarus	408.78541594548227
Belize	244.74971103445336
Bermuda	1164.6236340294956
Bolivia	179.8549939648994
Brazil	348.7118107198341
Barbados	554.0589274064602
Brunei Darussalam	462.1769095463315
Bhutan	135.44363015747726
Botswana	86.74507218049986
Central African Republic	218.3039763584991
Canada	623.2328646108999
Switzerland	650.025599159473
Channel Islands	962.4126736726647
Chile	320.0857675878738
China	137.41311098207942
Côte d’Ivoire	164.85504671248685
Cameroon	120.77867280627181
Congo, Dem. Rep.	160.32259736712587
Congo, Rep.	80.09112485916808
Colombia	225.40217450883378
Comoros	101.44543551847174
Cabo Verde	223.72572809708706
Costa Rica	267.5762441428749
Cuba	215.42587340815655
Curacao	139.91527253218044
Cayman Islands	858.7785175601906
Cyprus	416.0340812762783
Czech Republic	285.74204172038196
Germany	560.2449204484818
Djibouti	110.50112365326792
Dominica	167.27405692854543
Denmark	705.7656271140576
Dominican Republic	350.6774711881741
Algeria	271.32217558069135
Ecuador	286.2941398960469
Egypt, Arab Rep.	197.5360098416267
Eritrea	205.19308248592395
Spain	392.3463254408859
Estonia	325.72014310178355
Ethiopia	55.69967115213667
Finland	450.93972928430156
Fiji	195.8056146587932
France	453.1370158269606
Faeroe Islands	1144.9853096356376
Micronesia, Fed. Sts.	211.94077921432992
Gabon	104.61082819076985
United Kingdom	433.50898469196994
Georgia	194.67468382544655
Ghana	110.22348377057348
Gibraltar	456.01323796252365
Guinea	44.87316805315483
Gambia, The	79.26592523395428
Guinea-Bissau	143.66618316589592
Equatorial Guinea	142.65009883993753
Greece	462.03488653078347
Grenada	241.66819562631292
Greenland	807.5207847465774
Guatemala	147.85004555111232
Guam	781.384807129248
Guyana	209.7650502598614
Hong Kong SAR, China	697.0851495327224
Honduras	208.0131923849255
Croatia	363.7950569410195
Haiti	190.80255559258333
Hungary	344.04193067282824
Indonesia	223.5004023451927
